rank	title	year	grades	director
233	一次别离	2011	8.7	阿斯哈·法哈蒂
234	东京物语	1953	9.2	小津安二郎
235	聚焦	2015	8.8	托马斯·麦卡锡
236	遗愿清单	2007	8.6	罗伯·莱纳
237	小偷家族	2018	8.7	是枝裕和
238	撞车	2004	8.6	保罗·哈吉斯
239	发条橙	1971	8.5	Stanley
240	色，戒	2007	8.4	李安
241	梦之安魂曲	2000	8.7	达伦·阿伦诺夫斯基
242	黑鹰坠落	2001	8.6	雷德利·斯科特
243	驴得水	2016	8.3	周申
244	大佛普拉斯	2017	8.7	黄信尧
245	我爱你	2011	9	秋昌民
246	E.T. 外星人	1982	8.6	史蒂文·斯皮尔伯格
247	末路狂花	1991	8.7	雷德利·斯科特
248	千钧一发	1997	8.8	安德鲁·尼科尔
249	变脸	1997	8.5	吴宇森
250	这个男人来自地球	2007	8.5	理查德·沙因克曼
